Date,Open,High,Low,Adj Close,Volume,sma,rsi,ma,std_dev,upperband,lowerband,EMA12,EMA26,MACD,Signal_Line,MACD_Histogram,Close
2023-03-03,524.0,525.0,516.0,501.0718994140625,23253895,526.95,45.0,526.95,12.2409,551.4318,502.4682,519.3415218529216,514.5672231839053,4.774298669016275,8.013273344488212,-3.238974675471937,516.0
2023-03-06,520.0,524.0,517.0,505.9272766113281,21922085,526.0,42.963,526.0,11.9075,549.815,502.185,519.5966723370875,515.0437251702826,4.55294716680487,7.321208108951543,-2.7682609421466733,521.0
2023-03-07,521.0,526.0,519.0,508.84039306640625,24861078,525.1,43.3824,525.1,11.2993,547.6986,502.5014,520.274107362151,515.7071529354469,4.566954426704115,6.770357372502058,-2.2034029457979436,524.0
2023-03-08,521.0,523.0,518.0,505.9272766113281,24512408,524.85,47.9675,524.85,11.3336,547.5172,502.1828,520.3857831525893,516.0992156809693,4.2865674716199464,6.273599392325636,-1.9870319207056895,521.0
2023-03-09,525.0,526.0,522.0,506.8982849121094,21557577,524.8,49.5868,524.8,11.3444,547.4888,502.1112,520.6341242060371,516.5363108157123,4.097813390324745,5.838442191925458,-1.740628801600713,522.0
2023-03-10,515.0,516.0,511.0,498.15869140625,24045605,523.45,38.0531,523.45,11.0429,545.5358,501.3642,519.4596435589544,516.2743618664003,3.185281692554099,5.307810092051186,-2.122528399497087,513.0
2023-03-13,513.0,518.0,509.0,501.0718994140625,21466947,522.25,39.6552,522.25,10.4372,543.1244,501.3756,518.9273907037307,516.2540387651854,2.6733519385452382,4.780918461349996,-2.107566522804758,516.0
2023-03-14,511.0,514.0,510.0,495.2454833984375,20474770,520.5,35.0427,520.5,9.2935,539.087,501.913,517.5539459800798,515.790776634431,1.7631693456487483,4.177368638209747,-2.4141992925609985,510.0
2023-03-15,515.0,516.0,510.0,496.2165222167969,23208597,519.0,36.8421,519.0,8.1628,535.3256,502.6744,516.5456465985291,515.4359042911399,1.1097423073891832,3.563843372045634,-2.454101064656451,511.0
2023-03-16,505.0,510.0,504.0,493.0433044433594,21965994,517.0,32.7586,517.0,6.0957,529.1914,504.8086,514.7693932756785,514.662874343648,0.10651893203043983,2.872378484042595,-2.7658595520121554,505.0
2023-03-17,516.0,518.0,513.0,505.7355041503906,33118483,516.65,46.789,516.65,5.8063,528.2626,505.0374,515.2664096948049,514.9100688367112,0.35634085809374483,2.369170958852825,-2.0128301007590803,518.0
2023-03-20,517.0,518.0,510.0,499.8775634765625,11837312,515.85,42.8571,515.85,5.2342,526.3184,505.3816,514.7638851263735,514.69450818214,0.0693769442334542,1.9092121559289512,-1.839835211695497,512.0
2023-03-21,515.0,517.0,512.0,504.75921630859375,18284799,515.8,49.5327,515.8,5.2174,526.2348,505.3652,515.1079027992391,514.8652853538333,0.24261744540581276,1.5758932138243236,-1.3332757684185108,517.0
2023-03-22,524.0,533.0,524.0,520.38037109375,42385987,516.6,56.5574,516.6,6.484,529.568,503.632,517.8605331378177,516.2085975498456,1.6519355879720479,1.5911016886538685,0.060833899318179396,533.0
2023-03-23,528.0,539.0,528.0,525.261962890625,26728246,517.7,58.7302,517.7,8.0531,533.8062,501.5938,520.9589126550766,517.8227755091164,3.1361371459602196,1.900108780115139,1.2360283658450806,538.0
2023-03-24,536.0,539.0,535.0,526.23828125,21926240,519.3,63.5593,519.3,8.9449,537.1898,501.4102,523.7344645542955,519.3914588047373,4.343005749558188,2.388688174003749,1.9543175755544389,539.0
2023-03-27,533.0,536.0,531.0,518.427734375,16111177,519.95,55.6522,519.95,9.3103,538.5706,501.3294,524.85223923825,520.2513507451272,4.600888493122852,2.8311282378275697,1.7697602552952825,531.0
2023-03-28,525.0,530.0,524.0,512.5697631835938,17234120,520.65,56.1404,520.65,9.1265,538.903,502.397,524.8749716631346,520.6031025417844,4.271869121350164,3.119276414532089,1.1525927068180755,525.0
2023-03-29,533.0,533.0,525.0,517.4513549804688,17280749,521.05,53.7037,521.05,9.361,539.772,502.328,525.6634375611138,521.2991690201708,4.364268540943044,3.36827483981428,0.9959937011287643,530.0
2023-03-30,536.0,537.0,531.0,522.3330688476562,19201564,521.85,57.2727,521.85,9.8477,541.5454,502.1546,527.0998317824809,522.314045389047,4.785786393433909,3.651777150538206,1.1340092428957034,535.0
2023-03-31,538.0,538.0,532.0,520.38037109375,23558838,522.7,57.7982,522.7,10.0478,542.7956,502.6044,528.0075499697916,523.105597582451,4.901952387340657,3.9018121978986966,1.0001401894419604,533.0
2023-04-06,530.0,531.0,526.0,517.4513549804688,25423363,523.15,54.2056,523.15,10.1684,543.4868,502.8132,528.3140807436698,523.616294057825,4.69778668584479,4.061007095487915,0.6367795903568743,530.0
2023-04-07,535.0,535.0,529.0,518.427734375,8557482,523.5,53.3333,523.5,10.3186,544.1372,502.8628,528.7272990907976,524.1632352387269,4.564063852070717,4.161618446804476,0.4024454052662412,531.0
2023-04-10,533.0,533.0,528.0,516.4751586914062,7435151,523.9,53.8462,523.9,10.3715,544.643,503.157,528.7692530768287,524.5215141099324,4.24773896689635,4.178842550822851,0.06889641607349883,529.0
2023-04-11,522.0,527.0,522.0,511.593505859375,22675697,524.0,50.9259,524.0,10.3619,544.7238,503.2762,528.0355218342397,524.4828834351225,3.5526383991171997,4.053601720481721,-0.5009633213645213,524.0
2023-04-12,523.0,524.0,517.0,507.68817138671875,23816473,524.35,53.3981,524.35,10.0853,544.5206,504.1794,526.7992877058952,524.1508179954837,2.6484697104114048,3.772575318467658,-1.124105608056253,520.0
2023-04-13,515.0,517.0,510.0,497.9249267578125,25536889,524.05,47.2727,524.05,10.4301,544.9102,503.1898,524.2147819049882,523.1026092550776,1.1121726499105762,3.2404947847562418,-2.1283221348456656,510.0
2023-04-14,516.0,520.0,513.0,503.7828369140625,18072504,524.35,52.7273,524.35,10.0853,544.5206,504.1794,522.9509693042207,522.5764900509978,0.37447925322294395,2.6672916784495824,-2.2928124252266384,516.0
2023-04-17,519.0,520.0,514.0,507.68817138671875,14634287,524.8,53.9823,524.8,9.6497,544.0994,505.5006,522.4969740266483,522.3856389361091,0.11133509053922808,2.156100360867512,-2.0447652703282837,520.0
2023-04-18,518.0,520.0,514.0,502.8065185546875,15168888,525.3,54.4643,525.3,8.7905,542.881,507.719,521.343593407164,521.8385545704714,-0.49496116330738005,1.6258880560325335,-2.1208492193399135,515.0
2023-04-19,517.0,518.0,509.0,497.9249267578125,21123233,524.9,46.1538,524.9,9.307,543.514,506.286,519.5984251906773,520.9616246022883,-1.363199411611049,1.0280705625038171,-2.3912699741148664,510.0
2023-04-20,512.0,516.0,510.0,500.8539123535156,17221961,524.95,50.495,524.95,9.2365,543.423,506.477,518.5832828536501,520.3718746317485,-1.7885917780984073,0.4647380943833723,-2.2533298724817796,513.0
2023-04-21,520.0,520.0,510.0,498.9012145996094,25016683,524.65,46.9388,524.65,9.5987,543.8474,505.4526,517.4166239530886,519.6776616960634,-2.2610377429748496,-0.08041707308827206,-2.1806206698865775,511.0
