日期,市場,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
2014/4/1,台北二,芒果 金煌,55.4,47.4,34.6,46.4,84
2014/4/2,台北二,芒果 金煌,42,39.3,35,39,18
2014/4/3,台北二,芒果 金煌,84.9,42.4,30,48.4,122
2014/4/4,台北二,芒果 金煌,80,71.2,42.7,67.3,66
2014/4/8,台北二,芒果 金煌,90,83.3,60,80,60
2014/4/9,台北二,芒果 金煌,85,85,72,82.4,60
2014/4/10,台北二,芒果 金煌,77,77,77,77,36
2014/4/11,台北二,芒果 金煌,65,56.6,48,56.5,81
2014/4/12,台北二,芒果 金煌,71.7,63.1,45,61.2,210
2014/4/13,台北二,芒果 金煌,88.4,49.5,42.3,55.9,129
2014/4/15,台北二,芒果 金煌,65,63.1,48,60.5,246
2014/4/16,台北二,芒果 金煌,77,70.3,49.9,67.6,415
2014/4/17,台北二,芒果 金煌,75,68.7,58,67.8,138
2014/4/18,台北二,芒果 金煌,89.1,59,43.4,61.9,219
2014/4/19,台北二,芒果 金煌,83.1,65.5,49.8,65.9,469
2014/4/20,台北二,芒果 金煌,89.3,67.8,49.5,68.5,340
2014/4/22,台北二,芒果 金煌,81.4,66,45.7,65,702
2014/4/23,台北二,芒果 金煌,90,76.4,34,70.7,315
2014/4/24,台北二,芒果 金煌,90,64.2,40.2,64.6,246
2014/4/25,台北二,芒果 金煌,98,84.6,50.5,80.4,198
2014/4/26,台北二,芒果 金煌,83.2,68.1,51.6,67.8,840
2014/4/27,台北二,芒果 金煌,99.6,75.4,52.3,75.6,924
2014/4/29,台北二,芒果 金煌,103.1,80.2,50.4,78.8,"1,192"
2014/4/30,台北二,芒果 金煌,84.1,69.6,46.8,67.9,920
2014/5/1,台北二,芒果 金煌,85.1,64.1,41.6,63.8,978
2014/5/2,台北二,芒果 金煌,89.4,66.2,38.9,65.4,713
2014/5/3,台北二,芒果 金煌,97,66.3,39.8,67.2,"1,084"
2014/5/4,台北二,芒果 金煌,94.2,58.5,30.9,60.1,806
2014/5/6,台北二,芒果 金煌,87.5,60.8,34.7,60.9,"1,177"
2014/5/7,台北二,芒果 金煌,72.8,56.7,34.5,55.5,"1,359"
2014/5/8,台北二,芒果 金煌,70.1,50.9,36.4,51.8,"1,233"
2014/5/9,台北二,芒果 金煌,70,51.3,30.7,50.9,"1,538"
2014/5/10,台北二,芒果 金煌,79.3,55.6,30.1,55.2,"2,192"
