日期,市場,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
2014/4/1,台北二,芒果 愛文,108.3 ,73.5 ,43.7 ,74.5 ,36 
2014/4/3,台北二,芒果 愛文,120.0 ,116.7 ,105.0 ,115.0 ,18 
2014/4/4,台北二,芒果 愛文,123.9 ,95.7 ,55.6 ,93.3 ,45 
2014/4/8,台北二,芒果 愛文,90.0 ,69.8 ,51.3 ,70.2 ,34 
2014/4/9,台北二,芒果 愛文,60.0 ,46.8 ,32.5 ,46.6 ,50 
2014/4/10,台北二,芒果 愛文,90.0 ,80.4 ,72.0 ,80.7 ,18 
2014/4/11,台北二,芒果 愛文,95.0 ,76.7 ,50.0 ,75.0 ,18 
2014/4/12,台北二,芒果 愛文,103.3 ,60.6 ,48.4 ,66.7 ,305 
2014/4/13,台北二,芒果 愛文,97.8 ,58.4 ,35.0 ,61.6 ,278 
2014/4/15,台北二,芒果 愛文,66.5 ,45.0 ,33.8 ,47.1 ,772 
2014/4/16,台北二,芒果 愛文,88.4 ,47.0 ,27.6 ,51.4 ,617 
2014/4/17,台北二,芒果 愛文,116.4 ,46.9 ,22.9 ,56.0 ,180 
2014/4/18,台北二,芒果 愛文,130.0 ,69.7 ,29.3 ,73.7 ,77 
2014/4/19,台北二,芒果 愛文,123.8 ,68.6 ,23.9 ,70.7 ,73 
2014/4/20,台北二,芒果 愛文,111.2 ,61.7 ,33.3 ,65.9 ,345 
2014/4/22,台北二,芒果 愛文,84.8 ,51.1 ,20.8 ,51.8 ,789 
2014/4/23,台北二,芒果 愛文,123.4 ,64.5 ,38.0 ,71.0 ,386 
2014/4/24,台北二,芒果 愛文,96.7 ,43.9 ,27.4 ,51.2 ,"1,016 "
2014/4/25,台北二,芒果 愛文,150.7 ,73.6 ,30.5 ,80.3 ,943 
2014/4/26,台北二,芒果 愛文,150.3 ,73.5 ,31.2 ,80.4 ,926 
2014/4/27,台北二,芒果 愛文,155.5 ,99.5 ,42.3 ,99.3 ,"1,736 "
2014/4/29,台北二,芒果 愛文,152.5 ,96.7 ,42.5 ,97.0 ,"3,861 "
2014/4/30,台北二,芒果 愛文,143.0 ,97.4 ,63.2 ,99.7 ,"3,362 "
2014/5/1,台北二,芒果 愛文,137.5 ,80.5 ,50.2 ,85.9 ,"3,851 "
2014/5/2,台北二,芒果 愛文,137.9 ,76.5 ,35.3 ,80.5 ,"2,894 "
2014/5/3,台北二,芒果 愛文,145.7 ,76.6 ,36.9 ,82.5 ,"4,586 "
2014/5/4,台北二,芒果 愛文,155.1 ,80.8 ,41.5 ,87.8 ,"3,753 "
2014/5/6,台北二,芒果 愛文,125.9 ,66.8 ,32.9 ,71.8 ,"10,185 "
2014/5/7,台北二,芒果 愛文,113.8 ,66.2 ,35.5 ,69.6 ,"7,160 "
2014/5/8,台北二,芒果 愛文,115.2 ,64.1 ,37.5 ,69.0 ,"7,313 "
2014/5/9,台北二,芒果 愛文,112.2 ,70.5 ,40.2 ,72.7 ,"8,821 "
2014/5/10,台北二,芒果 愛文,118.6 ,70.1 ,40.5 ,73.9 ,"9,823 "
2014/5/11,台北二,芒果 愛文,123.5 ,78.7 ,41.3 ,80.2 ,"8,939 "
2014/5/13,台北二,芒果 愛文,121.5 ,75.5 ,45.0 ,78.6 ,"14,063 "
2014/5/14,台北二,芒果 愛文,124.1 ,76.9 ,46.6 ,80.3 ,"7,667 "
2014/5/15,台北二,芒果 愛文,109.8 ,66.7 ,39.0 ,69.8 ,"8,346 "
2014/5/16,台北二,芒果 愛文,113.8 ,73.6 ,40.9 ,75.1 ,"6,896 "
2014/5/17,台北二,芒果 愛文,125.6 ,78.0 ,42.8 ,80.5 ,"8,279 "
2014/5/18,台北二,芒果 愛文,120.5 ,75.1 ,41.0 ,77.3 ,"9,079 "
2014/5/20,台北二,芒果 愛文,122.8 ,68.3 ,39.8 ,73.5 ,"16,384 "
2014/5/21,台北二,芒果 愛文,107.7 ,59.0 ,29.7 ,62.9 ,"10,707 "
2014/5/22,台北二,芒果 愛文,113.5 ,66.6 ,29.6 ,68.6 ,"7,604 "
2014/5/23,台北二,芒果 愛文,116.7 ,75.1 ,37.5 ,75.9 ,"9,734 "
2014/5/24,台北二,芒果 愛文,161.2 ,83.2 ,42.3 ,90.6 ,"13,333 "
2014/5/25,台北二,芒果 愛文,143.5 ,88.7 ,45.5 ,91.0 ,"14,902 "
2014/5/27,台北二,芒果 愛文,111.5 ,68.0 ,37.9 ,70.7 ,"32,493 "
2014/5/28,台北二,芒果 愛文,122.0 ,67.9 ,37.4 ,72.6 ,"32,191 "
2014/5/29,台北二,芒果 愛文,97.3 ,57.4 ,30.5 ,60.0 ,"28,469 "
2014/5/30,台北二,芒果 愛文,93.9 ,56.6 ,33.1 ,59.4 ,"25,928 "
2014/5/31,台北二,芒果 愛文,93.8 ,58.4 ,32.6 ,60.3 ,"22,350 "
2014/6/1,台北二,芒果 愛文,94.9 ,61.4 ,35.3 ,62.9 ,"27,932 "
2014/6/2,台北二,芒果 愛文,82.8 ,52.3 ,27.8 ,53.5 ,"32,483 "
2014/6/5,台北二,芒果 愛文,76.2 ,49.1 ,27.9 ,50.3 ,"40,776 "
2014/6/6,台北二,芒果 愛文,70.6 ,47.3 ,27.9 ,48.1 ,"23,947 "
2014/6/7,台北二,芒果 愛文,73.2 ,47.8 ,26.2 ,48.6 ,"27,230 "
2014/6/8,台北二,芒果 愛文,67.9 ,44.8 ,25.8 ,45.6 ,"29,230 "
2014/6/10,台北二,芒果 愛文,68.2 ,46.8 ,27.9 ,47.3 ,"37,918 "
2014/6/11,台北二,芒果 愛文,69.1 ,47.6 ,29.8 ,48.3 ,"31,561 "
2014/6/12,台北二,芒果 愛文,64.7 ,44.7 ,27.0 ,45.2 ,"30,964 "
2014/6/13,台北二,芒果 愛文,67.9 ,44.8 ,23.4 ,45.1 ,"26,340 "
2014/6/14,台北二,芒果 愛文,67.1 ,43.9 ,21.0 ,43.9 ,"35,617 "
2014/6/15,台北二,芒果 愛文,64.0 ,42.7 ,25.9 ,43.6 ,"31,628 "
2014/6/17,台北二,芒果 愛文,60.8 ,38.3 ,22.8 ,39.7 ,"37,848 "
2014/6/18,台北二,芒果 愛文,65.5 ,39.4 ,24.3 ,41.6 ,"22,895 "
2014/6/19,台北二,芒果 愛文,64.1 ,39.1 ,23.1 ,40.9 ,"28,625 "
2014/6/20,台北二,芒果 愛文,62.4 ,38.6 ,24.7 ,40.6 ,"24,411 "
2014/6/21,台北二,芒果 愛文,69.8 ,40.4 ,23.4 ,42.8 ,"26,072 "
2014/6/22,台北二,芒果 愛文,66.8 ,40.6 ,26.0 ,42.9 ,"27,941 "
2014/6/24,台北二,芒果 愛文,68.5 ,41.9 ,25.0 ,43.8 ,"33,639 "
2014/6/25,台北二,芒果 愛文,79.1 ,50.7 ,30.0 ,52.3 ,"14,140 "
2014/6/26,台北二,芒果 愛文,88.0 ,55.3 ,29.7 ,56.7 ,"15,910 "
2014/6/27,台北二,芒果 愛文,114.0 ,68.3 ,26.6 ,69.1 ,"12,451 "
2014/6/28,台北二,芒果 愛文,127.2 ,77.8 ,45.0 ,81.1 ,"12,852 "
2014/6/29,台北二,芒果 愛文,106.1 ,71.4 ,44.4 ,72.9 ,"17,693 "
2014/7/1,台北二,芒果 愛文,85.6 ,55.8 ,31.4 ,56.9 ,"31,047 "
2014/7/2,台北二,芒果 愛文,78.6 ,50.1 ,31.8 ,52.1 ,"17,937 "
2014/7/3,台北二,芒果 愛文,80.4 ,48.0 ,29.8 ,50.8 ,"18,411 "
2014/7/4,台北二,芒果 愛文,76.0 ,49.1 ,27.8 ,50.2 ,"17,449 "
2014/7/5,台北二,芒果 愛文,81.9 ,49.8 ,28.5 ,52.0 ,"18,887 "
2014/7/6,台北二,芒果 愛文,93.8 ,56.6 ,32.5 ,59.2 ,"14,860 "
2014/7/8,台北二,芒果 愛文,72.0 ,50.9 ,33.7 ,51.7 ,"35,129 "
2014/7/9,台北二,芒果 愛文,84.4 ,55.6 ,37.2 ,57.7 ,"19,142 "
2014/7/10,台北二,芒果 愛文,78.1 ,55.4 ,28.3 ,54.5 ,"23,343 "
2014/7/11,台北二,芒果 愛文,80.9 ,53.9 ,28.2 ,54.2 ,"22,427 "
2014/7/12,台北二,芒果 愛文,90.1 ,58.9 ,42.9 ,62.0 ,"13,349 "
2014/7/13,台北二,芒果 愛文,82.3 ,60.6 ,47.5 ,62.3 ,"16,846 "
2014/7/15,台北二,芒果 愛文,70.3 ,50.1 ,39.7 ,52.1 ,"36,132 "
2014/7/16,台北二,芒果 愛文,67.3 ,48.2 ,38.9 ,50.2 ,"27,109 "
2014/7/17,台北二,芒果 愛文,61.3 ,43.5 ,33.9 ,45.2 ,"27,955 "
2014/7/18,台北二,芒果 愛文,65.7 ,45.4 ,35.3 ,47.5 ,"23,491 "
2014/7/19,台北二,芒果 愛文,76.6 ,52.6 ,38.5 ,54.6 ,"16,837 "
2014/7/20,台北二,芒果 愛文,73.6 ,52.1 ,34.2 ,52.8 ,"16,752 "
2014/7/22,台北二,芒果 愛文,71.0 ,53.0 ,38.6 ,53.7 ,"30,810 "
2014/7/23,台北二,芒果 愛文,71.5 ,51.8 ,36.6 ,52.7 ,"21,224 "
2014/7/24,台北二,芒果 愛文,68.7 ,50.1 ,30.5 ,49.9 ,"21,467 "
2014/7/25,台北二,芒果 愛文,67.7 ,48.6 ,29.0 ,48.5 ,"20,977 "
2014/7/26,台北二,芒果 愛文,68.3 ,47.4 ,27.9 ,47.7 ,"25,499 "
2014/7/27,台北二,芒果 愛文,74.0 ,49.5 ,29.7 ,50.4 ,"31,426 "
2014/7/29,台北二,芒果 愛文,67.2 ,46.1 ,32.8 ,47.7 ,"34,356 "
2014/7/30,台北二,芒果 愛文,63.3 ,39.6 ,25.3 ,41.5 ,"21,624 "
2014/7/31,台北二,芒果 愛文,66.3 ,35.3 ,20.5 ,38.5 ,"18,615 "
2014/8/1,台北二,芒果 愛文,72.3 ,38.5 ,21.1 ,41.8 ,"14,695 "
2014/8/2,台北二,芒果 愛文,86.4 ,44.3 ,25.9 ,49.0 ,"15,520 "
2014/8/3,台北二,芒果 愛文,91.0 ,49.1 ,28.0 ,53.3 ,"13,664 "
2014/8/5,台北二,芒果 愛文,85.9 ,47.1 ,29.2 ,51.3 ,"21,907 "
2014/8/6,台北二,芒果 愛文,80.5 ,44.6 ,27.7 ,48.4 ,"14,787 "
2014/8/7,台北二,芒果 愛文,88.1 ,48.1 ,26.6 ,51.8 ,"21,414 "
2014/8/8,台北二,芒果 愛文,77.9 ,46.5 ,24.2 ,48.3 ,"22,302 "
2014/8/9,台北二,芒果 愛文,86.3 ,59.5 ,37.2 ,60.4 ,"20,266 "
2014/8/10,台北二,芒果 愛文,109.8 ,65.8 ,38.0 ,69.0 ,"14,890 "
2014/8/13,台北二,芒果 愛文,96.9 ,57.4 ,34.7 ,60.8 ,"13,763 "
2014/8/14,台北二,芒果 愛文,89.5 ,58.7 ,36.3 ,60.4 ,"7,691 "
2014/8/15,台北二,芒果 愛文,86.5 ,59.9 ,36.4 ,60.5 ,"7,702 "
2014/8/16,台北二,芒果 愛文,87.2 ,60.1 ,37.7 ,61.0 ,"9,952 "
2014/8/17,台北二,芒果 愛文,82.5 ,47.3 ,27.2 ,50.3 ,"13,386 "
2014/8/19,台北二,芒果 愛文,71.7 ,39.7 ,21.6 ,42.5 ,"16,486 "
2014/8/20,台北二,芒果 愛文,82.7 ,44.7 ,22.8 ,47.9 ,"9,375 "
2014/8/21,台北二,芒果 愛文,76.8 ,40.2 ,24.7 ,44.4 ,"9,859 "
2014/8/22,台北二,芒果 愛文,89.4 ,48.5 ,23.5 ,51.7 ,"6,661 "
2014/8/23,台北二,芒果 愛文,84.5 ,46.5 ,26.0 ,50.0 ,"10,782 "
2014/8/24,台北二,芒果 愛文,92.5 ,50.3 ,23.9 ,53.5 ,"9,427 "
2014/8/26,台北二,芒果 愛文,125.5 ,72.6 ,38.2 ,76.3 ,"3,897 "
2014/8/27,台北二,芒果 愛文,105.1 ,76.1 ,42.3 ,75.1 ,"2,100 "
2014/8/28,台北二,芒果 愛文,133.5 ,64.0 ,28.3 ,70.7 ,"2,597 "
2014/8/29,台北二,芒果 愛文,120.0 ,70.6 ,37.0 ,73.8 ,"2,978 "
2014/8/30,台北二,芒果 愛文,118.4 ,63.2 ,36.5 ,68.9 ,"2,829 "
2014/8/31,台北二,芒果 愛文,131.7 ,82.9 ,46.3 ,85.3 ,"1,930 "
2014/9/2,台北二,芒果 愛文,157.2 ,72.4 ,33.5 ,81.6 ,"1,977 "
2014/9/3,台北二,芒果 愛文,115.6 ,62.9 ,30.8 ,67.0 ,"1,512 "
2014/9/4,台北二,芒果 愛文,163.6 ,94.2 ,46.0 ,98.5 ,905 
2014/9/5,台北二,芒果 愛文,123.9 ,59.1 ,30.2 ,66.3 ,"1,291 "
2014/9/6,台北二,芒果 愛文,163.2 ,106.1 ,31.8 ,102.7 ,466 
2014/9/7,台北二,芒果 愛文,147.2 ,106.2 ,41.6 ,101.5 ,608 
2014/9/8,台北二,芒果 愛文,183.7 ,128.3 ,65.6 ,126.8 ,135 
2014/9/11,台北二,芒果 愛文,162.6 ,74.3 ,20.0 ,81.1 ,"1,005 "
2014/9/12,台北二,芒果 愛文,140.4 ,54.7 ,19.3 ,64.7 ,881 
2014/9/13,台北二,芒果 愛文,130.3 ,68.4 ,17.0 ,70.5 ,"1,030 "
2014/9/14,台北二,芒果 愛文,171.8 ,156.9 ,87.9 ,146.1 ,83 
2014/9/16,台北二,芒果 愛文,170.9 ,138.6 ,80.8 ,133.5 ,151 
2014/9/17,台北二,芒果 愛文,55.0 ,55.0 ,55.0 ,55.0 ,12 
2014/9/18,台北二,芒果 愛文,175.0 ,161.1 ,94.0 ,150.5 ,83 
2014/9/19,台北二,芒果 愛文,170.0 ,170.0 ,170.0 ,170.0 ,6 
2014/9/20,台北二,芒果 愛文,168.1 ,155.4 ,108.4 ,148.5 ,149 
2014/9/21,台北二,芒果 愛文,160.0 ,158.3 ,117.5 ,150.5 ,60 
2014/9/23,台北二,芒果 愛文,160.0 ,157.0 ,121.4 ,150.5 ,126 
2014/9/25,台北二,芒果 愛文,180.0 ,164.4 ,93.3 ,153.3 ,36 
2014/9/26,台北二,芒果 愛文,100.0 ,100.0 ,100.0 ,100.0 ,30 
2014/9/27,台北二,芒果 愛文,196.7 ,172.8 ,135.0 ,170.0 ,72 
2014/9/30,台北二,芒果 愛文,200.0 ,185.8 ,142.7 ,180.0 ,66 
2015/4/1,台北二,芒果 愛文,100.9 ,78.9 ,55.7 ,78.7 ,380 
2015/4/2,台北二,芒果 愛文,82.6 ,69.2 ,42.7 ,66.6 ,532 
2015/4/3,台北二,芒果 愛文,92.2 ,52.1 ,28.1 ,55.3 ,730 
2015/4/4,台北二,芒果 愛文,90.7 ,65.1 ,47.0 ,66.6 ,848 
2015/4/7,台北二,芒果 愛文,80.1 ,54.6 ,36.9 ,56.2 ,"1,676 "
2015/4/8,台北二,芒果 愛文,103.2 ,64.3 ,39.6 ,67.1 ,797 
2015/4/9,台北二,芒果 愛文,86.7 ,43.4 ,22.5 ,47.9 ,"1,267 "
2015/4/10,台北二,芒果 愛文,87.4 ,45.2 ,26.5 ,49.9 ,"1,279 "
2015/4/11,台北二,芒果 愛文,122.1 ,58.4 ,25.8 ,64.6 ,"1,165 "
2015/4/12,台北二,芒果 愛文,95.1 ,53.4 ,34.6 ,57.9 ,"1,723 "
2015/4/14,台北二,芒果 愛文,107.3 ,63.7 ,33.9 ,66.4 ,"1,748 "
2015/4/15,台北二,芒果 愛文,132.8 ,78.5 ,48.8 ,83.4 ,"1,266 "
2015/4/16,台北二,芒果 愛文,131.4 ,81.4 ,51.6 ,85.5 ,"1,911 "
