機構名稱,縣市,行政區,地址全址,特約服務項目,機構電話,電子郵件,機構負責人姓名
健樂福生活事業股份有限公司,臺北市,大安區,臺北市大安區民炤里仁愛路三段30號,輔具及居家無障礙環境服務,02-77462328,,楊恆碩
生通股份有限公司,臺北市,中山區,臺北市中山區民權東路一段55號,交通接送服務,02-25997667,doreen@wcarsharing.com,陳金棍
臺北市政府社會局委託財團法人中華民國唐氏症基金會經營管理信義身障社區長照機構（日間照顧）,臺北市,信義區,臺北市信義區西村里信義路５段15號５樓,日間照顧服務,02-27229933,minjungh1976@gmail.com,林正俠
臺北市政府社會局委託財團法人伊甸社會福利基金會經營管理民生身障社區長照機構（日間照顧）,臺北市,松山區,臺北市松山區三民里松山民生東路五段163之1號,日間照顧服務,02-27609605,eden3779@eden.org.tw,羅紀琼
財團法人天下為公社會福利慈善事業基金會附設新北市私立天下為公居家式服務類長期照顧服務機構,新北市,汐止區,新北市汐止區保安里大同路三段423號1樓,喘息服務,02-86488388,wba@hangan.org,胡世賢
財團法人伊甸社會福利基金會附設臺北市私立台北居家式服務類長期照顧服務機構,臺北市,北投區,臺北市北投區裕民里裕民六路120號,居家服務,02-28210320#103,eden5580@eden.org.tw,羅紀琼
愛志股份有限公司附設臺北市私立愛志居家長照機構,臺北市,南港區,臺北市南港區東新里重陽路120號3樓309室,居家服務,02-27882211,service@earth-want.com.tw,森山典明
財團法人弘道老人福利基金會附設臺北市私立弘道居家式服務類長期照顧服務機構,臺北市,松山區,臺北市松山區民福里復興北路451號,居家服務,02-66131314,yvonne@hondao.org.tw,王乃弘
財團法人老五老基金會附設臺北市私立老五老居家式服務類長期照顧服務機構,臺北市,北投區,臺北市北投區吉慶里石牌路1段14號3樓,居家服務,02-28929702,bt@ofo.org.tw,陳麗欣
財團法人臺北市松年長春社會福利基金會私立松年長春居家長照機構,臺北市,中山區,臺北市中山區行仁里龍江路318巷5、7號1樓及5號地下室,居家服務,02-25000261,pinema@twdc.org.tw,黃春生
