標籤,全部作品數,前25%作品數,受歡迎比例(%),占全部作品比例(%),占前25%作品比例(%),最低(萬),平均(萬),中位數(萬),最高(萬)
血腥暴力,14,8,57.1,3.2,7.3,1.8,31.0,19.0,93.3
戀愛,25,10,40.0,5.7,9.1,1.7,14.9,12.7,77.6
親情,8,1,12.5,1.8,0.9,0.1,14.1,7.7,70.4
偶像,18,2,11.1,4.1,1.8,0.6,6.7,2.4,64.2
青春,18,5,27.8,4.1,4.5,0.7,14.4,8.0,63.3
音樂,16,2,12.5,3.7,1.8,0.4,8.9,2.1,63.2
魔法,35,25,71.4,8.0,22.7,1.2,21.1,16.5,61.8
戰爭,11,4,36.4,2.5,3.6,1.6,15.6,6.8,59.3
喜劇,12,5,41.7,2.7,4.5,0.1,15.2,11.0,53.3
異世界,17,8,47.1,3.9,7.3,3.6,15.8,12.5,48.4
科幻,11,2,18.2,2.5,1.8,0.1,8.3,2.9,47.8
時間穿越,5,3,60.0,1.1,2.7,2.4,15.7,15.5,32.5
冒險,9,3,33.3,2.1,2.7,1.4,12.1,7.8,31.6
運動,22,3,13.6,5.0,2.7,0.6,5.9,2.5,31.5
黑暗,13,5,38.5,3.0,4.5,2.9,12.2,9.2,31.2
溫馨,12,2,16.7,2.7,1.8,0.3,9.5,7.4,30.5
靈異神怪,18,4,22.2,4.1,3.6,1.4,8.2,6.1,29.0
料理,7,1,14.3,1.6,0.9,2.1,12.7,13.0,28.9
勵志,8,3,37.5,1.8,2.7,3.0,13.8,11.1,26.4
18禁,8,1,12.5,1.8,0.9,1.7,9.8,8.6,25.6
悠閒,14,1,7.1,3.2,0.9,0.4,4.5,2.6,24.1
超能力,8,4,50.0,1.8,3.6,0.3,12.1,14.6,23.9
奇幻,22,3,13.6,5.0,2.7,0.3,6.2,2.9,23.3
職場,17,1,5.9,3.9,0.9,0.1,6.5,5.4,21.2
懸疑,10,1,10.0,2.3,0.9,1.0,6.4,4.8,17.4
GL,2,1,50.0,0.5,0.9,0.6,8.8,8.8,16.9
推理,8,1,12.5,1.8,0.9,4.0,7.8,5.9,16.2
感人,5,1,20.0,1.1,0.9,2.5,9.9,12.9,16.2
闔家觀賞,12,0,0.0,2.7,0.0,0.0,2.2,0.6,13.2
特攝,2,0,0.0,0.5,0.0,7.8,9.1,9.1,10.4
校園,1,0,0.0,0.2,0.0,9.7,9.7,9.7,9.7
泡麵番,16,0,0.0,3.7,0.0,0.1,2.3,1.1,8.3
BL,4,0,0.0,0.9,0.0,1.8,4.8,4.7,7.8
歷史,8,0,0.0,1.8,0.0,0.2,2.3,1.6,7.7
機甲,9,0,0.0,2.1,0.0,0.2,2.3,2.3,4.7
競技,10,0,0.0,2.3,0.0,0.2,1.5,1.2,4.5
動作,3,0,0.0,0.7,0.0,1.0,1.2,1.0,1.6
